r_over_rs,D_GR,D_SSZ,delta,z_GR,z_SSZ
1.8612,1.0,1.0,0.0,0.0,0.0
1.8618999999999999,1.0,1.0,0.0,0.0,0.0
1.8626,1.0,1.0,0.0,0.0,0.0
1.8633,1.0,1.0,0.0,0.0,0.0
1.8639999999999999,1.0,1.0,0.0,0.0,0.0
1.8647,1.0,1.0,0.0,0.0,0.0
1.8654,1.0,1.0,0.0,0.0,0.0
1.8660999999999999,1.0,1.0,0.0,0.0,0.0
1.8668,1.0,1.0,0.0,0.0,0.0
1.8675,1.0,1.0,0.0,0.0,0.0
1.8681999999999999,1.0,1.0,0.0,0.0,0.0
1.8689,1.0,1.0,0.0,0.0,0.0
1.8696,1.0,1.0,0.0,0.0,0.0
1.8703,1.0,1.0,0.0,0.0,0.0
1.871,1.0,1.0,0.0,0.0,0.0
1.8717,1.0,1.0,0.0,0.0,0.0
1.8724,1.0,1.0,0.0,0.0,0.0
1.8731,1.0,1.0,0.0,0.0,0.0
1.8738000000000001,1.0,1.0,0.0,0.0,0.0
1.8745,1.0,1.0,0.0,0.0,0.0
1.8752,1.0,1.0,0.0,0.0,0.0
1.8759000000000001,1.0,1.0,0.0,0.0,0.0
1.8766,1.0,1.0,0.0,0.0,0.0
1.8773,1.0,1.0,0.0,0.0,0.0
1.8780000000000001,1.0,1.0,0.0,0.0,0.0
1.8787,1.0,1.0,0.0,0.0,0.0
1.8794,1.0,1.0,0.0,0.0,0.0
1.8801,1.0,1.0,0.0,0.0,0.0
1.8808,1.0,1.0,0.0,0.0,0.0
1.8815,1.0,1.0,0.0,0.0,0.0
1.8822,1.0,1.0,0.0,0.0,0.0
