alpha,eta,omega,m,epsilon,q,sigma0,R,Kappa,phi,r0,K,lambda_A,Omega0,segment_mode,Xi,logG,lhs,stable_direct,stable_criterion,near_boundary,criterion_margin,integral_gamma,damping_sum,log_mirror
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.8,0.311111111111,uniform,59.36516837206421,32.94392470982528,5.120000000000001,False,False,False,-54.245168372064214,47.597780441298745,14.653745726423134,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.0,0.522222222222,uniform,107.74866603064484,87.99608020980831,0.0,False,False,False,-107.74866603064484,87.99619021485864,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.8,0.522222222222,uniform,107.74866603064484,73.34233448338517,5.120000000000001,False,False,False,-102.62866603064484,87.99619021485864,14.653745726423134,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.0,0.522222222222,uniform,107.74866603061936,87.99608020978704,0.0,False,False,False,-107.74866603061936,87.99619021483737,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.8,0.522222222222,uniform,107.74866603061936,73.3423344833639,5.120000000000001,False,False,False,-102.62866603061936,87.99619021483737,14.653745726423134,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.0,0.733333333333,uniform,156.13216368919996,128.39448998334692,0.0,False,False,False,-156.13216368919996,128.39459998839726,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.8,0.733333333333,uniform,156.13216368919996,113.74074425692379,5.120000000000001,False,False,False,-151.01216368919995,128.39459998839726,14.653745726423134,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.0,0.733333333333,uniform,156.1321636891745,128.39448998332566,0.0,False,False,False,-156.1321636891745,128.394599988376,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.8,0.733333333333,uniform,156.1321636891745,113.74074425690253,5.120000000000001,False,False,False,-151.01216368917449,128.394599988376,14.653745726423134,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.0,0.944444444444,uniform,204.5156613477551,168.79289975688553,0.0,False,False,False,-204.5156613477551,168.79300976193588,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.8,0.944444444444,uniform,204.5156613477551,154.1391540304624,5.120000000000001,False,False,False,-199.3956613477551,168.79300976193588,14.653745726423134,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.0,0.944444444444,uniform,204.51566134772963,168.79289975686427,0.0,False,False,False,-204.51566134772963,168.79300976191462,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.8,0.944444444444,uniform,204.51566134772963,154.13915403044115,5.120000000000001,False,False,False,-199.39566134772963,168.79300976191462,14.653745726423134,-0.00011000505033366343
